Cell,Formula
BI7,"=IFERROR(IF($C7=""Top WS"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AK7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C7=""WS SF"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AK7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C7=""WS WH"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AK7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C7=""SF WH"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AK7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BJ7,"=IFERROR(IF($C7=""Top WS"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AL7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C7=""WS SF"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AL7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C7=""WS WH"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AL7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C7=""SF WH"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AL7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BK7,"=IFERROR(IF($C7=""Top WS"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AM7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C7=""WS SF"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AM7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C7=""WS WH"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AM7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C7=""SF WH"",VLOOKUP($B7,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AM7,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BM7,"=VLOOKUP(VLOOKUP(A7,ASTBase!E:S,13,FALSE),ASTBase!F:P,11,FALSE)"
BN7,"=INDEX(AN7:AY7,,Period!$D$2)"
P8,"=SUMIFS(Actual!C:C,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
Q8,"=SUMIFS(Actual!D:D,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
R8,"=SUMIFS(Actual!E:E,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
S8,"=SUMIFS(Actual!F:F,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
T8,"=SUMIFS(Actual!G:G,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
U8,"=SUMIFS(Actual!H:H,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
V8,"=SUMIFS(Actual!I:I,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
W8,"=SUMIFS(Actual!J:J,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
X8,"=SUMIFS(Actual!K:K,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
Y8,"=SUMIFS(Actual!L:L,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
Z8,"=SUMIFS(Actual!M:M,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
AA8,"=SUMIFS(Actual!N:N,Actual!$A:$A,'3)Target & Cal'!$A8,Actual!$B:$B,'3)Target & Cal'!$B8)"
AB8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AB$2,FALSE)=""Shortage"",1,IFERROR(ROUND(P8/D8,4),0)),IFERROR(ROUND(P8/D8,4),0))"
AC8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AC$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Q8/E8,4),0)),IFERROR(ROUND(Q8/E8,4),0))"
AD8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AD$2,FALSE)=""Shortage"",1,IFERROR(ROUND(R8/F8,4),0)),IFERROR(ROUND(R8/F8,4),0))"
AE8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AE$2,FALSE)=""Shortage"",1,IFERROR(ROUND(S8/G8,4),0)),IFERROR(ROUND(S8/G8,4),0))"
AF8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AF$2,FALSE)=""Shortage"",1,IFERROR(ROUND(T8/H8,4),0)),IFERROR(ROUND(T8/H8,4),0))"
AG8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AG$2,FALSE)=""Shortage"",1,IFERROR(ROUND(U8/I8,4),0)),IFERROR(ROUND(U8/I8,4),0))"
AH8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AH$2,FALSE)=""Shortage"",1,IFERROR(ROUND(V8/J8,4),0)),IFERROR(ROUND(V8/J8,4),0))"
AI8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AI$2,FALSE)=""Shortage"",1,IFERROR(ROUND(W8/K8,4),0)),IFERROR(ROUND(W8/K8,4),0))"
AJ8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AP$2,FALSE)=""Shortage"",1,IFERROR(ROUND(X8/L8,4),0)),IFERROR(ROUND(X8/L8,4),0))"
AK8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AK$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Y8/M8,4),0)),IFERROR(ROUND(Y8/M8,4),0))"
AL8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AL$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Z8/N8,4),0)),IFERROR(ROUND(Z8/N8,4),0))"
AM8,"=IFERROR(IF(VLOOKUP($B8,Shortage!$A:$M,AM$2,FALSE)=""Shortage"",1,IFERROR(ROUND(AA8/O8,4),0)),IFERROR(ROUND(AA8/O8,4),0))"
AN8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AB8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AB8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AB8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AB8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AO8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AC8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AC8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AC8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AC8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AP8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AD8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AD8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AD8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AD8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AQ8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AE8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AE8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AE8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AE8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AR8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AF8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AF8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AF8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AF8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AS8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AG8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AG8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AG8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AG8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AT8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AH8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AH8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AH8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AH8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AU8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AI8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AI8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AI8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AI8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AV8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AP8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AP8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AP8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AP8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AW8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AK8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AK8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AK8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AK8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AX8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AL8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AL8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AL8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AL8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AY8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AM8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AM8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AM8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AM8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AZ8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AB8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AB8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AB8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AB8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BA8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AC8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AC8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AC8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AC8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BB8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AD8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AD8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AD8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AD8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BC8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AE8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AE8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AE8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AE8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BD8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AF8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AF8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AF8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AF8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BE8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AG8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AG8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AG8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AG8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BF8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AH8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AH8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AH8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AH8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BG8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AI8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AI8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AI8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AI8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BH8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AP8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AP8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AP8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AP8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BI8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AK8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AK8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AK8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AK8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BJ8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AL8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AL8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AL8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AL8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BK8,"=IFERROR(IF($C8=""Top WS"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AM8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS SF"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AM8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""WS WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AM8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C8=""SF WH"",VLOOKUP($B8,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AM8,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BM8,"=VLOOKUP(VLOOKUP(A8,ASTBase!E:S,13,FALSE),ASTBase!F:P,11,FALSE)"
BN8,"=INDEX(AN8:AY8,,Period!$D$2)"
P9,"=SUMIFS(Actual!C:C,Actual!$A:$A,'3)Target & Cal'!$A9,Actual!$B:$B,'3)Target & Cal'!$B9)"
Q9,"=SUMIFS(Actual!D:D,Actual!$A:$A,'3)Target & Cal'!$A9,Actual!$B:$B,'3)Target & Cal'!$B9)"
R9,"=SUMIFS(Actual!E:E,Actual!$A:$A,'3)Target & Cal'!$A9,Actual!$B:$B,'3)Target & Cal'!$B9)"
S9,"=SUMIFS(Actual!F:F,Actual!$A:$A,'3)Target & Cal'!$A9,Actual!$B:$B,'3)Target & Cal'!$B9)"
T9,"=SUMIFS(Actual!G:G,Actual!$A:$A,'3)Target & Cal'!$A9,Actual!$B:$B,'3)Target & Cal'!$B9)"
U9,"=SUMIFS(Actual!H:H,Actual!$A:$A,'3)Target & Cal'!$A9,Actual!$B:$B,'3)Target & Cal'!$B9)"
